Record_Id,Question_Id,Question_Text,Quetion_Type,Question_Start_Word,Answer_ID,Full_Answer,Expert_Commentary,Hadith_Full_Answer,Hadith_Matn,Answer-Instances ,Source_Name,Source_Link,Credibility,Question_ID_in_the_Orignal_Dataset
364,306,من هو زوج فاطمة بنت النبي ﷺ ؟,F,من,1,"علي بن أبي طالب رضي الله عنه . ⇦ والدليل حديث ابْنِ عَبَّاسٍ رضي الله عنه، قَالَ: لَمَّا تَزَوَّجَ عَلِيٌّ فَاطِمَةَ قَالَ لَهُ رَسُولُ الله ﷺ «أَعْطِهَا شَيْئًا»، قَالَ: مَا عِنْدِي شَيْءٌ، قَالَ: «أَيْنَ دِرْعُكَ الحُطَمِيَّةُ؟». رواه أبو داود (2125)، وصححه الألباني في صحيح أبي داود (1865)، والوادعي في الصحيح المسند (688).",علي بن أبي طالب رضي الله عنه . ,"حديث ابْنِ عَبَّاسٍ رضي الله عنه، قَالَ: لَمَّا تَزَوَّجَ عَلِيٌّ فَاطِمَةَ قَالَ لَهُ رَسُولُ الله ﷺ «أَعْطِهَا شَيْئًا»، قَالَ: مَا عِنْدِي شَيْءٌ، قَالَ: «أَيْنَ دِرْعُكَ الحُطَمِيَّةُ؟». رواه أبو داود (2125)، وصححه الألباني في صحيح أبي داود (1865)، والوادعي في الصحيح المسند (688).","قَالَ: لَمَّا تَزَوَّجَ عَلِيٌّ فَاطِمَةَ قَالَ لَهُ رَسُولُ الله ﷺ «أَعْطِهَا شَيْئًا»، قَالَ: مَا عِنْدِي شَيْءٌ، قَالَ: «أَيْنَ دِرْعُكَ الحُطَمِيَّةُ؟».",عَلِيٌّ ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٧٥
365,307,ماذا قال النبي ﷺ عن علي رضي الله عنه في غزوه خيبر ؟,D ,ماذا,1,"قال: «لأعطين الراية غدًا رجلًا يحب الله ورسوله، ويحبه الله ورسوله، يفتح الله على يديه». ⇦ والدليل حديث سهل بْن سَعْدٍ رضي الله عنه، قَالَ: قَالَ النَّبِيُّ ﷺ يَوْمَ خَيْبَرَ: «لَأُعْطِيَنَّ الرَّايَةَ غَدًا رَجُلًا يُفْتَحُ عَلَى يَدَيْهِ، يُحِبُّ الله وَرَسُولَهُ، وَيُحِبُّهُ الله وَرَسُولُهُ»، فَبَاتَ النَّاسُ لَيْلَتَهُمْ أَيُّهُمْ يُعْطَى، فَغَدَوْا كُلُّهُمْ يَرْجُوهُ، فَقَالَ: «أَيْنَ عَلِيٌّ؟»، فَقِيلَ يَشْتَكِي عَيْنَيْهِ، فَبَصَقَ فِي عَيْنَيْهِ وَدَعَا لَهُ، فَبَرَأَ كَأَنْ لَمْ يَكُنْ بِهِ وَجَعٌ، فَأَعْطَاه ُ...». رواه البخاري (3009)، ومسلم (2406).","قال: «لأعطين الراية غدًا رجلًا يحب الله ورسوله، ويحبه الله ورسوله، يفتح الله على يديه». ","حديث سهل بْن سَعْدٍ رضي الله عنه، قَالَ: قَالَ النَّبِيُّ ﷺ يَوْمَ خَيْبَرَ: «لَأُعْطِيَنَّ الرَّايَةَ غَدًا رَجُلًا يُفْتَحُ عَلَى يَدَيْهِ، يُحِبُّ الله وَرَسُولَهُ، وَيُحِبُّهُ الله وَرَسُولُهُ»، فَبَاتَ النَّاسُ لَيْلَتَهُمْ أَيُّهُمْ يُعْطَى، فَغَدَوْا كُلُّهُمْ يَرْجُوهُ، فَقَالَ: «أَيْنَ عَلِيٌّ؟»، فَقِيلَ يَشْتَكِي عَيْنَيْهِ، فَبَصَقَ فِي عَيْنَيْهِ وَدَعَا لَهُ، فَبَرَأَ كَأَنْ لَمْ يَكُنْ بِهِ وَجَعٌ، فَأَعْطَاه ُ...». رواه البخاري (3009)، ومسلم (2406)."," قَالَ النَّبِيُّ ﷺ يَوْمَ خَيْبَرَ: «لَأُعْطِيَنَّ الرَّايَةَ غَدًا رَجُلًا يُفْتَحُ عَلَى يَدَيْهِ، يُحِبُّ الله وَرَسُولَهُ، وَيُحِبُّهُ الله وَرَسُولُهُ»، فَبَاتَ النَّاسُ لَيْلَتَهُمْ أَيُّهُمْ يُعْطَى، فَغَدَوْا كُلُّهُمْ يَرْجُوهُ، فَقَالَ: «أَيْنَ عَلِيٌّ؟»، فَقِيلَ يَشْتَكِي عَيْنَيْهِ، فَبَصَقَ فِي عَيْنَيْهِ وَدَعَا لَهُ، فَبَرَأَ كَأَنْ لَمْ يَكُنْ بِهِ وَجَعٌ، فَأَعْطَاه ُ...». ","رَجُلًا يُفْتَحُ عَلَى يَدَيْهِ، يُحِبُّ الله وَرَسُولَهُ، وَيُحِبُّهُ الله وَرَسُولُهُ",الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٧٦
366,308,من هو الذي قال فيه النبي ﷺ أنت مني وأنا منك ؟,F,من,1,"هو علي بن أبي طالب رضي الله عنه .  ⇦ والدليل حديث البَرَاءِ رضي الله عنه، قَالَ: لَمَّا اعْتَمَرَ النَّبِيُّ ﷺ فِي ذِي القَعْدَةِ، قَالَ: لِعَلِيِّ ابْنِ أَبِي طَالِبٍ رضي الله عنه: «أَنْتَ مِنِّي وَأَنَا مِنْكَ». رواه البخاري (2699). ",هو علي بن أبي طالب رضي الله عنه .  ,"حديث البَرَاءِ رضي الله عنه، قَالَ: لَمَّا اعْتَمَرَ النَّبِيُّ ﷺ فِي ذِي القَعْدَةِ، قَالَ: لِعَلِيِّ ابْنِ أَبِي طَالِبٍ رضي الله عنه: «أَنْتَ مِنِّي وَأَنَا مِنْكَ». رواه البخاري (2699). ","قَالَ: لَمَّا اعْتَمَرَ النَّبِيُّ ﷺ فِي ذِي القَعْدَةِ، قَالَ: لِعَلِيِّ ابْنِ أَبِي طَالِبٍ رضي الله عنه: «أَنْتَ مِنِّي وَأَنَا مِنْكَ». ",عَلِيِّ ابْنِ أَبِي طَالِبٍ رضي الله عنه,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٧٧
367,309,من هو حواري رسول الله ﷺ ؟,F,من,1,"الزبير  بن العوام رضي الله عنه . ⇦ والدليل حديث جَابِرِ بْنِ عَبْدِ الله رضي الله عنه، أَنَّ رَسُولَ الله ﷺ قَالَ: «إِنَّ لِكُلِّ نَبِيٍّ حَوَارِيَّ، وَإِنَّ حَوَارِيَّ الزُّبَيْرُ». رواه البخاري (4113)، ومسلم (2415).",الزبير  بن العوام رضي الله عنه . ,"حديث جَابِرِ بْنِ عَبْدِ الله رضي الله عنه، أَنَّ رَسُولَ الله ﷺ قَالَ: «إِنَّ لِكُلِّ نَبِيٍّ حَوَارِيَّ، وَإِنَّ حَوَارِيَّ الزُّبَيْرُ». رواه البخاري (4113)، ومسلم (2415).","أَنَّ رَسُولَ الله ﷺ قَالَ: «إِنَّ لِكُلِّ نَبِيٍّ حَوَارِيَّ، وَإِنَّ حَوَارِيَّ الزُّبَيْرُ». ",الزُّبَيْرُ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٧٨
368,310,من هو زوج الصحابية أسماء بنت أبي بكر رضي الله عنها ؟,F,من,1,"الزبير بن العوام رضي الله عنه . ⇦ ⇦ والدليل حديث أَسْمَاءَ رضي الله عنها، أَنَّهَا حَمَلَتْ بِعَبْدِ الله بْنِ الزُّبَيْرِ بِمَكَّةَ قَالَتْ: فَخَرَجْتُ وَأَنَا مُتِمٌّ، فَأَتَيْتُ المَدِينَةَ فَنَزَلتُ بِقُبَاءٍ فَوَلَدْتُهُ بِقُبَاءٍ، ثُمَّ أَتَيْتُ رَسُولَ الله ﷺ: «فَوَضَعَهُ فِي حَجْرِهِ، ثُمَّ دَعَا بِتَمْرَةٍ فَمَضَغَهَا، ثُمَّ تَفَلَ فِي فِيهِ، فَكَانَ أَوَّلَ شَيْءٍ دَخَلَ جَوْفَهُ رِيقُ رَسُولِ الله ﷺ، ثُمَّ حَنَّكَهُ بِالتَّمْرَةِ، ثُمَّ دَعَا لَهُ وَبَرَّكَ عَلَيْهِ، وَكَانَ أَوَّلَ مَوْلُودٍ وُلِدَ فِي الإِسْلَامِ». رواه البخاري (3909)، ومسلم (2146).",الزبير بن العوام رضي الله عنه . ,"حديث أَسْمَاءَ رضي الله عنها، أَنَّهَا حَمَلَتْ بِعَبْدِ الله بْنِ الزُّبَيْرِ بِمَكَّةَ قَالَتْ: فَخَرَجْتُ وَأَنَا مُتِمٌّ، فَأَتَيْتُ المَدِينَةَ فَنَزَلتُ بِقُبَاءٍ فَوَلَدْتُهُ بِقُبَاءٍ، ثُمَّ أَتَيْتُ رَسُولَ الله ﷺ: «فَوَضَعَهُ فِي حَجْرِهِ، ثُمَّ دَعَا بِتَمْرَةٍ فَمَضَغَهَا، ثُمَّ تَفَلَ فِي فِيهِ، فَكَانَ أَوَّلَ شَيْءٍ دَخَلَ جَوْفَهُ رِيقُ رَسُولِ الله ﷺ، ثُمَّ حَنَّكَهُ بِالتَّمْرَةِ، ثُمَّ دَعَا لَهُ وَبَرَّكَ عَلَيْهِ، وَكَانَ أَوَّلَ مَوْلُودٍ وُلِدَ فِي الإِسْلَامِ». رواه البخاري (3909)، ومسلم (2146).","حديث أَسْمَاءَ رضي الله عنها، أَنَّهَا حَمَلَتْ بِعَبْدِ الله بْنِ الزُّبَيْرِ بِمَكَّةَ قَالَتْ: فَخَرَجْتُ وَأَنَا مُتِمٌّ، فَأَتَيْتُ المَدِينَةَ فَنَزَلتُ بِقُبَاءٍ فَوَلَدْتُهُ بِقُبَاءٍ، ثُمَّ أَتَيْتُ رَسُولَ الله ﷺ: «فَوَضَعَهُ فِي حَجْرِهِ، ثُمَّ دَعَا بِتَمْرَةٍ فَمَضَغَهَا، ثُمَّ تَفَلَ فِي فِيهِ، فَكَانَ أَوَّلَ شَيْءٍ دَخَلَ جَوْفَهُ رِيقُ رَسُولِ الله ﷺ، ثُمَّ حَنَّكَهُ بِالتَّمْرَةِ، ثُمَّ دَعَا لَهُ وَبَرَّكَ عَلَيْهِ، وَكَانَ أَوَّلَ مَوْلُودٍ وُلِدَ فِي الإِسْلَامِ». ", الزُّبَيْرِ ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٧٩
369,311,من هو أول مولود في المدينة من المسلمين ؟,F,من,1,"عبد الله بن الزبير . ⇦ والدليل حديث أَسْمَاءَ رضي الله عنها، أَنَّهَا حَمَلَتْ بِعَبْدِ الله بْنِ الزُّبَيْرِ بِمَكَّةَ قَالَتْ: فَخَرَجْتُ وَأَنَا مُتِمٌّ، فَأَتَيْتُ المَدِينَةَ فَنَزَلتُ بِقُبَاءٍ فَوَلَدْتُهُ بِقُبَاءٍ، ثُمَّ أَتَيْتُ رَسُولَ الله ﷺ: «فَوَضَعَهُ فِي حَجْرِهِ، ثُمَّ دَعَا بِتَمْرَةٍ فَمَضَغَهَا، ثُمَّ تَفَلَ فِي فِيهِ، فَكَانَ أَوَّلَ شَيْءٍ دَخَلَ جَوْفَهُ رِيقُ رَسُولِ الله ﷺ، ثُمَّ حَنَّكَهُ بِالتَّمْرَةِ، ثُمَّ دَعَا لَهُ وَبَرَّكَ عَلَيْهِ، وَكَانَ أَوَّلَ مَوْلُودٍ وُلِدَ فِي الإِسْلَامِ». رواه البخاري (3909)، ومسلم (2146).",عبد الله بن الزبير . ,"حديث أَسْمَاءَ رضي الله عنها، أَنَّهَا حَمَلَتْ بِعَبْدِ الله بْنِ الزُّبَيْرِ بِمَكَّةَ قَالَتْ: فَخَرَجْتُ وَأَنَا مُتِمٌّ، فَأَتَيْتُ المَدِينَةَ فَنَزَلتُ بِقُبَاءٍ فَوَلَدْتُهُ بِقُبَاءٍ، ثُمَّ أَتَيْتُ رَسُولَ الله ﷺ: «فَوَضَعَهُ فِي حَجْرِهِ، ثُمَّ دَعَا بِتَمْرَةٍ فَمَضَغَهَا، ثُمَّ تَفَلَ فِي فِيهِ، فَكَانَ أَوَّلَ شَيْءٍ دَخَلَ جَوْفَهُ رِيقُ رَسُولِ الله ﷺ، ثُمَّ حَنَّكَهُ بِالتَّمْرَةِ، ثُمَّ دَعَا لَهُ وَبَرَّكَ عَلَيْهِ، وَكَانَ أَوَّلَ مَوْلُودٍ وُلِدَ فِي الإِسْلَامِ». رواه البخاري (3909)، ومسلم (2146).","أَنَّهَا حَمَلَتْ بِعَبْدِ الله بْنِ الزُّبَيْرِ بِمَكَّةَ قَالَتْ: فَخَرَجْتُ وَأَنَا مُتِمٌّ، فَأَتَيْتُ المَدِينَةَ فَنَزَلتُ بِقُبَاءٍ فَوَلَدْتُهُ بِقُبَاءٍ، ثُمَّ أَتَيْتُ رَسُولَ الله ﷺ: «فَوَضَعَهُ فِي حَجْرِهِ، ثُمَّ دَعَا بِتَمْرَةٍ فَمَضَغَهَا، ثُمَّ تَفَلَ فِي فِيهِ، فَكَانَ أَوَّلَ شَيْءٍ دَخَلَ جَوْفَهُ رِيقُ رَسُولِ الله ﷺ، ثُمَّ حَنَّكَهُ بِالتَّمْرَةِ، ثُمَّ دَعَا لَهُ وَبَرَّكَ عَلَيْهِ، وَكَانَ أَوَّلَ مَوْلُودٍ وُلِدَ فِي الإِسْلَامِ». ",عَبْدِ الله بْنِ الزُّبَيْرِ ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٠
370,312,من هو أمين هذه ألامه ؟,F,من,1,"أبو عبيده بن الجراح رضي الله عنه .  ⇦ والدليل حديث أَنَسٍ رضي الله عنه، قال أَخَذَ رَسُولُ الله ﷺ بِيَدِ أَبِي عُبَيْدَةَ فَقَالَ: «هَذَا أَمِينُ هَذِهِ الأُمَّةِ». رواه مسلم (2419)، وهو في البخاري (4380) عن حذيفة رضي الله عنه . ",أبو عبيده بن الجراح رضي الله عنه .  ,"حديث أَنَسٍ رضي الله عنه، قال أَخَذَ رَسُولُ الله ﷺ بِيَدِ أَبِي عُبَيْدَةَ فَقَالَ: «هَذَا أَمِينُ هَذِهِ الأُمَّةِ». رواه مسلم (2419)، وهو في البخاري (4380) عن حذيفة رضي الله عنه . ",قال أَخَذَ رَسُولُ الله ﷺ بِيَدِ أَبِي عُبَيْدَةَ فَقَالَ: «هَذَا أَمِينُ هَذِهِ الأُمَّةِ». ,أَبِي عُبَيْدَةَ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨١
371,313,من هو الذي بعثه النبي ﷺ إلى البحرين ليأتي بجزيتها ؟,F,من,1,"أبو عبيده بن الجراح رضي الله عنه .  ⇦ والدليل حديث عَمْرَو بْنَ عَوْفٍ الأنصَارِيَّ رضي الله عنه أَنَّ رَسُولَ الله ﷺ: «بَعَثَ أَبَا عُبَيْدَةَ بْنَ الجَرَّاحِ إِلَى البَحْرَيْنِ يَأْتِي بِجِزْيَتِهَا..» وذكر الحديث. رواه البخاري (3158)، ومسلم (2961). ",أبو عبيده بن الجراح رضي الله عنه .  ,"حديث عَمْرَو بْنَ عَوْفٍ الأنصَارِيَّ رضي الله عنه أَنَّ رَسُولَ الله ﷺ: «بَعَثَ أَبَا عُبَيْدَةَ بْنَ الجَرَّاحِ إِلَى البَحْرَيْنِ يَأْتِي بِجِزْيَتِهَا..» وذكر الحديث. رواه البخاري (3158)، ومسلم (2961). ",أَنَّ رَسُولَ الله ﷺ: «بَعَثَ أَبَا عُبَيْدَةَ بْنَ الجَرَّاحِ إِلَى البَحْرَيْنِ يَأْتِي بِجِزْيَتِهَا,أَبَا عُبَيْدَةَ بْنَ الجَرَّاحِ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٢
372,314,من أول من رمى بسهم في سبيل الله ؟,F,من,1,"سعد بن أبي وقاص رضي الله عنه . ⇦ والدليل أثر سَعْدُ بْنَ أَبِي وَقَّاصٍ رضي الله عنه: «إِنِّي لَأَوَّلُ العَرَبِ رَمَى بِسَهْمٍ فِي سَبِيلِ الله». رواه البخاري برقم (3728)، ومسلم برقم (2966).",سعد بن أبي وقاص رضي الله عنه . ,"الدليل أثر سَعْدُ بْنَ أَبِي وَقَّاصٍ رضي الله عنه: «إِنِّي لَأَوَّلُ العَرَبِ رَمَى بِسَهْمٍ فِي سَبِيلِ الله». رواه البخاري برقم (3728)، ومسلم برقم (2966).",أثر سَعْدُ بْنَ أَبِي وَقَّاصٍ رضي الله عنه: «إِنِّي لَأَوَّلُ العَرَبِ رَمَى بِسَهْمٍ فِي سَبِيلِ الله». ,سَعْدُ بْنَ أَبِي وَقَّاصٍ رضي الله عنه,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٣
373,315,من هو الذي قال له النبي ﷺ ارم فداك أبي وأمي؟,F,من,1,"سعد بن أبي وقاص رضي الله عنه . ⇦ والدليل حديث  عَلِيِّ بْنِ أَبِي طَالِبٍ رضي الله عنه، مَا جَمَعَ رَسُولُ الله ﷺ، أَبَوَيْهِ لِأَحَدٍ، غَيْرِ سَعْدِ بْنِ مَالِكٍ رضي الله عنه، فَإِنَّهُ جَعَلَ يَقُولُ لَهُ يَوْمَ أُحُدٍ: «ارْمِ فِدَاكَ أَبِي وَأُمِّي». رواه البخاري (2905)، ومسلم (2411).",سعد بن أبي وقاص رضي الله عنه . ,"حديث  عَلِيِّ بْنِ أَبِي طَالِبٍ رضي الله عنه، مَا جَمَعَ رَسُولُ الله ﷺ، أَبَوَيْهِ لِأَحَدٍ، غَيْرِ سَعْدِ بْنِ مَالِكٍ رضي الله عنه، فَإِنَّهُ جَعَلَ يَقُولُ لَهُ يَوْمَ أُحُدٍ: «ارْمِ فِدَاكَ أَبِي وَأُمِّي». رواه البخاري (2905)، ومسلم (2411).","مَا جَمَعَ رَسُولُ الله ﷺ، أَبَوَيْهِ لِأَحَدٍ، غَيْرِ سَعْدِ بْنِ مَالِكٍ رضي الله عنه، فَإِنَّهُ جَعَلَ يَقُولُ لَهُ يَوْمَ أُحُدٍ: «ارْمِ فِدَاكَ أَبِي وَأُمِّي».",سَعْدِ بْنِ مَالِكٍ رضي الله عنه,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٤
374,316,من هو خادمه ﷺ ؟,F,من,1,"أنس بن مالك رضي الله عنه، (وخدامه كثر لكن أنسًا أشهرهم). ⇦ والدليل حديث أَنَسِ بْنِ مَالِكٍ رضي الله عنه، قَالَ: «خَدَمْتُ النَّبِيَّ ﷺ عَشْرَ سِنِينَ، فَمَا قَالَ لِي: أُفٍّ، وَلاَ: لِمَ صَنَعْتَ؟ وَلاَ: أَلَا صَنَعْتَ». رواه البخاري (6038)، ومسلم (2309).","أنس بن مالك رضي الله عنه، (وخدامه كثر لكن أنسًا أشهرهم). ","حديث أَنَسِ بْنِ مَالِكٍ رضي الله عنه، قَالَ: «خَدَمْتُ النَّبِيَّ ﷺ عَشْرَ سِنِينَ، فَمَا قَالَ لِي: أُفٍّ، وَلاَ: لِمَ صَنَعْتَ؟ وَلاَ: أَلَا صَنَعْتَ». رواه البخاري (6038)، ومسلم (2309).","أَنَسِ بْنِ مَالِكٍ رضي الله عنه، قَالَ: «خَدَمْتُ النَّبِيَّ ﷺ عَشْرَ سِنِينَ، فَمَا قَالَ لِي: أُفٍّ، وَلاَ: لِمَ صَنَعْتَ؟ وَلاَ: أَلَا صَنَعْتَ». ",أَنَسِ بْنِ مَالِكٍ رضي الله عنه,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٥
375,317,من هو صاحب النعل والوساد والمطهرة ؟,F,من,1,"عبد الله بن مسعود رضي الله عنه .  ⇦ والدليل حديث أَبُي الدَّرْدَاءِ رضي الله عنه: «أَلَيْسَ عِنْدَكُمْ ابْنُ أُمِّ عَبْدٍ صَاحِبُ النَّعْلَيْنِ وَالوِسَادِ، وَالمِطْهَرَةِ...» الحديث. رواه البخاري برقم (3742).",عبد الله بن مسعود رضي الله عنه .  ,"حديث أَبُي الدَّرْدَاءِ رضي الله عنه: «أَلَيْسَ عِنْدَكُمْ ابْنُ أُمِّ عَبْدٍ صَاحِبُ النَّعْلَيْنِ وَالوِسَادِ، وَالمِطْهَرَةِ...» الحديث. رواه البخاري برقم (3742).","أَلَيْسَ عِنْدَكُمْ ابْنُ أُمِّ عَبْدٍ صَاحِبُ النَّعْلَيْنِ وَالوِسَادِ، وَالمِطْهَرَةِ",ابْنُ أُمِّ عَبْدٍ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٦
376,318,ما اسم حمار النبي ﷺ ؟,F,ما,1,"عفير. ⇦ والدليل حديث مُعَاذٍ رضي الله عنه، قَالَ: «كُنْتُ رِدْيفَ النَّبِيِّ ﷺ عَلَى حِمَارٍ يُقَالُ لَهُ عُفَيْر ٌ...» الحديث. رواه البخاري (2856)، ومسلم (30).",عفير. ,"حديث مُعَاذٍ رضي الله عنه، قَالَ: «كُنْتُ رِدْيفَ النَّبِيِّ ﷺ عَلَى حِمَارٍ يُقَالُ لَهُ عُفَيْر ٌ...» الحديث. رواه البخاري (2856)، ومسلم (30).",قَالَ: «كُنْتُ رِدْيفَ النَّبِيِّ ﷺ عَلَى حِمَارٍ يُقَالُ لَهُ عُفَيْر,عُفَيْر ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٨
377,319,من هي المرأة التي سباها النبي ﷺ في غزوة خيبر ثم أعتقها وتزوجها ؟,F,من,1,"صفية بنت حيي رضي الله عنها. ⇦ والدليل حديث أَنَسٍ رضي الله عنه، أَنَّ رَسُولَ الله ﷺ غَزَا خَيْبَرَ، وفيه...: فَجَاءَهُ دِحْيَةُ، فَقَالَ: يَا رَسُولَ الله، أَعْطِنِي جَارِيَةً مِنَ السَّبْيِ. فَقَالَ: «اذْهَبْ فَخُذْ جَارِيَةً»، فَأَخَذَ صَفِيَّةَ بِنْتَ حُيَيٍّ، فَجَاءَ رَجُلٌ إِلَى نَبِيِّ الله ﷺ، فَقَالَ: يَا نَبِيَّ الله، أَعْطَيْتَ دِحْيَةَ صَفِيَّةَ بِنْتَ حُيَيٍّ سَيِّدِ قُرَيْظَةَ وَالنَّضِيرِ؟ مَا تَصْلُحُ إِلَّا لَكَ، قَالَ: «ادْعُوهُ بِهَا»، قَالَ: فَجَاءَ بِهَا، فَلَمَّا نَظَرَ إِلَيْهَا النَّبِيُّ ﷺ، قَالَ: «خُذْ جَارِيَةً مِنَ السَّبْيِ غَيْرَهَا» قَالَ: وَأَعْتَقَهَا وَتَزَوَّجَهَا...». رواه البخاري (371)، ومسلم (1365).",صفية بنت حيي رضي الله عنها. ,"حديث أَنَسٍ رضي الله عنه، أَنَّ رَسُولَ الله ﷺ غَزَا خَيْبَرَ، وفيه...: فَجَاءَهُ دِحْيَةُ، فَقَالَ: يَا رَسُولَ الله، أَعْطِنِي جَارِيَةً مِنَ السَّبْيِ. فَقَالَ: «اذْهَبْ فَخُذْ جَارِيَةً»، فَأَخَذَ صَفِيَّةَ بِنْتَ حُيَيٍّ، فَجَاءَ رَجُلٌ إِلَى نَبِيِّ الله ﷺ، فَقَالَ: يَا نَبِيَّ الله، أَعْطَيْتَ دِحْيَةَ صَفِيَّةَ بِنْتَ حُيَيٍّ سَيِّدِ قُرَيْظَةَ وَالنَّضِيرِ؟ مَا تَصْلُحُ إِلَّا لَكَ، قَالَ: «ادْعُوهُ بِهَا»، قَالَ: فَجَاءَ بِهَا، فَلَمَّا نَظَرَ إِلَيْهَا النَّبِيُّ ﷺ، قَالَ: «خُذْ جَارِيَةً مِنَ السَّبْيِ غَيْرَهَا» قَالَ: وَأَعْتَقَهَا وَتَزَوَّجَهَا...». رواه البخاري (371)، ومسلم (1365).","أَنَّ رَسُولَ الله ﷺ غَزَا خَيْبَرَ، وفيه...: فَجَاءَهُ دِحْيَةُ، فَقَالَ: يَا رَسُولَ الله، أَعْطِنِي جَارِيَةً مِنَ السَّبْيِ. فَقَالَ: «اذْهَبْ فَخُذْ جَارِيَةً»، فَأَخَذَ صَفِيَّةَ بِنْتَ حُيَيٍّ، فَجَاءَ رَجُلٌ إِلَى نَبِيِّ الله ﷺ، فَقَالَ: يَا نَبِيَّ الله، أَعْطَيْتَ دِحْيَةَ صَفِيَّةَ بِنْتَ حُيَيٍّ سَيِّدِ قُرَيْظَةَ وَالنَّضِيرِ؟ مَا تَصْلُحُ إِلَّا لَكَ، قَالَ: «ادْعُوهُ بِهَا»، قَالَ: فَجَاءَ بِهَا، فَلَمَّا نَظَرَ إِلَيْهَا النَّبِيُّ ﷺ، قَالَ: «خُذْ جَارِيَةً مِنَ السَّبْيِ غَيْرَهَا» قَالَ: وَأَعْتَقَهَا وَتَزَوَّجَهَا...».",صَفِيَّةَ بِنْتَ حُيَيٍّ,الاستدلال على كنز الأطفال للدكتور فيصل بن مسفر بن معوض الزنامي الوادعي,https://alilmia.com/sub_book91_5410.html,yes,٤٨٩
